Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
140,00:00:05.839,11.67766081871345,10.812938596491229,10.38502192982456,13.835021929824562
141,00:00:05.881,16.68143274853801,16.932719298245615,13.497017543859648,19.614561403508773
142,00:00:05.923,17.753318713450295,16.98032894736842,15.74844298245614,20.531184210526316
143,00:00:05.964,18.265826023391813,18.53655701754386,15.258464912280703,21.002456140350876
144,00:00:06.006,16.01923976608187,16.351600877192983,12.976403508771929,18.729714912280702
145,00:00:06.048,14.7481432748538,16.545745614035088,10.45640350877193,17.242280701754385
146,00:00:06.089,14.226666666666667,15.280833333333334,11.335285087719297,16.063881578947367
147,00:00:06.131,13.49140350877193,13.870109649122806,11.577521929824561,15.02657894736842
148,00:00:06.173,14.45888157894737,16.105372807017545,10.934714912280702,16.33655701754386
149,00:00:06.215,15.178209064327488,17.17576754385965,10.727850877192983,17.631008771929825
150,00:00:06.256,14.637682748538012,16.749254385964914,9.766776315789473,17.39701754385965
151,00:00:06.298,12.105380116959063,13.655548245614035,7.660767543859649,14.999824561403509
152,00:00:06.340,8.83793859649123,9.707828947368421,5.6732894736842105,11.132697368421052
153,00:00:06.381,7.752872807017543,8.654276315789474,5.02,9.584342105263158
154,00:00:06.423,8.651790935672514,10.372894736842106,5.240021929824562,10.342456140350878
155,00:00:06.465,11.901652046783626,13.92423245614035,7.590548245614035,14.19017543859649
156,00:00:06.506,13.647061403508772,15.420043859649123,9.446359649122806,16.074780701754385
157,00:00:06.548,15.518530701754388,17.320877192982458,11.357785087719298,17.876929824561405
158,00:00:06.590,17.043362573099415,17.76940789473684,12.980701754385965,20.37997807017544
159,00:00:06.632,67.30470029239767,68.31881578947369,58.64614035087719,74.9491447368421
160,00:00:06.673,6.539035087719299,7.625657894736842,3.736315789473684,8.255131578947369
161,00:00:06.715,6.656147660818714,7.732258771929825,3.950109649122807,8.28607456140351
162,00:00:06.757,7.474678362573099,8.33423245614035,4.602828947368421,9.486973684210525
163,00:00:06.798,8.895416666666668,10.15936403508772,5.146008771929824,11.380877192982457
164,00:00:06.840,8.557850877192983,9.395833333333334,5.554758771929825,10.72296052631579
165,00:00:06.882,11.00298976608187,13.344627192982456,6.645877192982456,13.018464912280702
166,00:00:06.924,12.654130116959061,15.020109649122807,8.413092105263157,14.529188596491228
167,00:00:06.965,18.199554093567247,23.25315789473684,11.967828947368421,19.37767543859649
168,00:00:07.007,18.71843567251462,21.139934210526317,14.774035087719298,20.241337719298247
169,00:00:07.049,16.822858187134504,19.810833333333335,13.535372807017543,17.12236842105263
170,00:00:07.090,14.96077485380117,15.932368421052631,13.815833333333334,15.134122807017544
171,00:00:07.132,16.063194444444445,15.737149122807018,16.65078947368421,15.801644736842105
172,00:00:07.174,21.191008771929827,26.29671052631579,17.532127192982458,19.744188596491227
173,00:00:07.216,18.638004385964916,27.52142543859649,10.270438596491228,18.122149122807016
174,00:00:07.257,16.995343567251464,23.865482456140352,10.102236842105263,17.018311403508772
175,00:00:07.299,16.210073099415204,22.108486842105265,9.631754385964912,16.889978070175438
176,00:00:07.341,16.594868421052634,22.354013157894737,9.82530701754386,17.6052850877193
177,00:00:07.382,17.156140350877195,21.350263157894737,11.25046052631579,18.86769736842105
178,00:00:07.424,16.470058479532167,20.90561403508772,10.09857456140351,18.405986842105264
179,00:00:07.466,20.462938596491227,27.034912280701754,11.41782894736842,22.936074561403508
180,00:00:07.507,22.482785087719297,29.45732456140351,13.260175438596491,24.730855263157896
181,00:00:07.549,24.377434210526317,30.623223684210526,16.17173245614035,26.33734649122807
182,00:00:07.591,22.68563596491228,26.87686403508772,17.78747807017544,23.392565789473686
183,00:00:07.633,18.35076754385965,19.930723684210527,14.413859649122807,20.707719298245614
184,00:00:07.674,58.97079678362573,60.47129385964912,53.15677631578947,63.284320175438594
185,00:00:07.716,1.299795321637427,1.1343201754385965,1.2026315789473685,1.5624342105263158
186,00:00:07.758,1.684422514619883,1.8631578947368421,1.260219298245614,1.929890350877193
187,00:00:07.799,1.2960526315789476,1.07375,1.229671052631579,1.5847368421052632
188,00:00:07.841,1.3545614035087719,1.125548245614035,1.2776315789473685,1.6605043859649122
189,00:00:07.883,1.8125511695906436,2.035877192982456,1.3196491228070175,2.082127192982456
190,00:00:07.925,1.3144005847953217,1.19140350877193,1.2094956140350877,1.5423026315789474
191,00:00:07.966,1.010592105263158,0.7025657894736842,1.1196929824561404,1.209517543859649
192,00:00:08.008,1.9467397660818715,2.2977412280701754,1.3401535087719298,2.202324561403509
193,00:00:08.050,1.0020614035087718,0.7674122807017544,1.0596929824561403,1.1790789473684211
194,00:00:08.091,2.417324561403509,0.6706578947368421,4.263552631578947,2.3177631578947366
195,00:00:08.133,4.253428362573099,3.566907894736842,4.832017543859649,4.361359649122807
196,00:00:08.175,3.1225073099415206,1.641469298245614,4.528530701754386,3.1975219298245614
197,00:00:08.217,2.7948611111111106,1.035657894736842,4.289320175438596,3.059605263157895
198,00:00:08.258,4.2877923976608185,3.5118640350877195,4.605460526315789,4.746052631578947
199,00:00:08.300,2.6334795321637428,0.5355921052631579,4.3791008771929825,2.9857456140350878
200,00:00:08.342,2.581747076023392,0.5103508771929824,4.234714912280702,3.000175438596491
201,00:00:08.383,4.875394736842105,4.384692982456141,4.668991228070175,5.5725
202,00:00:08.425,3.2326315789473683,1.3510087719298245,4.325438596491228,4.021447368421053
203,00:00:08.467,3.63593567251462,2.4155043859649123,3.9257894736842105,4.566513157894737
204,00:00:08.508,4.485957602339181,3.283640350877193,4.866271929824562,5.30796052631579
205,00:00:08.550,3.619473684210526,2.600065789473684,3.589013157894737,4.669342105263158
206,00:00:08.592,4.746703216374269,3.609671052631579,4.581425438596491,6.049013157894737
207,00:00:08.634,3.6099999999999994,0.9678070175438597,4.17844298245614,5.68375
208,00:00:08.675,8.354152046783625,8.485657894736843,4.829451754385965,11.74734649122807
209,00:00:08.717,4.924393274853801,2.456359649122807,4.408289473684211,7.908530701754386
210,00:00:08.759,5.123983918128655,2.772478070175439,4.128552631578947,8.47092105263158
211,00:00:08.800,12.787456140350876,14.659912280701754,5.03578947368421,18.666666666666668
212,00:00:08.842,4.889590643274854,1.5615131578947368,4.18936403508772,8.917894736842106
213,00:00:08.884,8.494225146198831,7.28655701754386,3.928486842105263,14.267631578947368
214,00:00:08.926,11.532492690058481,8.042105263157895,4.634692982456141,21.920679824561404
215,00:00:08.967,24.013377192982457,40.84583333333333,4.043092105263158,27.151206140350876
216,00:00:09.009,41.39069444444444,66.80640350877194,4.977280701754386,52.388399122807016
217,00:00:09.051,18.82796052631579,11.377521929824562,2.857127192982456,42.24923245614035
218,00:00:09.092,0.0,0.0,0.0,0.0
219,00:00:09.134,0.0,0.0,0.0,0.0
220,00:00:09.176,0.0,0.0,0.0,0.0
221,00:00:09.218,0.0020833333333333333,0.0,0.00625,0.0
222,00:00:09.259,0.0020833333333333333,0.0,0.00625,0.0
223,00:00:09.301,35.247251461988306,6.588574561403509,1.639013157894737,97.51416666666667
224,00:00:09.343,33.65279970760234,10.972763157894736,3.241206140350877,86.74442982456141
225,00:00:09.384,10.731652046783624,6.234890350877193,3.1466666666666665,22.813399122807017
226,00:00:09.426,12.694276315789475,7.73015350877193,3.1041447368421053,27.248530701754387
227,00:00:09.468,6.591059941520467,5.302763157894737,3.1235964912280703,11.346820175438596
228,00:00:09.509,5.396937134502924,5.141535087719299,3.2858991228070176,7.763377192982456
229,00:00:09.551,6.559824561403509,7.378947368421053,3.1584429824561404,9.142083333333334
230,00:00:09.593,5.13795321637427,6.6615789473684215,3.0746052631578946,5.677675438596491
231,00:00:09.635,4.787755847953217,5.857258771929825,3.4551754385964912,5.050833333333333
232,00:00:09.676,6.085891812865498,8.48405701754386,3.0705263157894738,6.703092105263158
233,00:00:09.718,5.003362573099415,6.984254385964912,3.284342105263158,4.741491228070175
234,00:00:09.760,4.202836257309942,4.958837719298246,3.585526315789474,4.064144736842105
235,00:00:09.801,6.116695906432749,9.671030701754386,3.2260526315789475,5.453004385964912
236,00:00:09.843,5.372412280701755,8.815372807017544,3.3436842105263156,3.9581798245614035
237,00:00:09.885,8.83907894736842,19.33752192982456,3.480964912280702,3.69875
238,00:00:09.927,9.702836257309942,21.574583333333333,3.2228728070175436,4.3110526315789475
239,00:00:09.968,3.838362573099415,4.633530701754386,3.496425438596491,3.3851315789473686
240,00:00:10.010,4.94062134502924,7.30796052631579,3.560921052631579,3.952982456140351
241,00:00:10.052,7.730789473684211,15.463333333333333,3.375964912280702,4.353070175438597
242,00:00:10.093,5.161593567251463,8.62982456140351,3.4701973684210525,3.3847587719298247
243,00:00:10.135,6.570701754385965,12.566513157894736,3.7537280701754385,3.3918640350877194
244,00:00:10.177,7.4848684210526315,14.803135964912281,3.6193859649122806,4.0320833333333335
245,00:00:10.219,4.480577485380117,6.652982456140351,3.5898464912280703,3.19890350877193
246,00:00:10.260,5.562551169590644,7.965460526315789,3.7406140350877193,4.981578947368421
247,00:00:10.302,1.7783918128654974,2.031622807017544,1.1953508771929824,2.108201754385965
248,00:00:10.344,2.635540935672515,3.3131140350877195,1.4945175438596492,3.0989912280701755
249,00:00:10.385,2.2412426900584794,2.941578947368421,1.3735964912280703,2.408552631578947
250,00:00:10.427,2.1403654970760235,2.3973684210526316,1.4349561403508773,2.5887719298245613
251,00:00:10.469,2.961220760233918,4.364627192982456,1.480372807017544,3.0386622807017543
252,00:00:10.510,1.8831652046783625,1.9824780701754385,1.3379824561403508,2.3290350877192982
253,00:00:10.552,2.272105263157895,2.818201754385965,1.4837719298245613,2.514342105263158
254,00:00:10.594,2.972529239766082,4.24703947368421,1.5410745614035088,3.1294736842105264
255,00:00:10.636,2.0022295321637427,2.307171052631579,1.4082017543859648,2.291315789473684
256,00:00:10.677,2.507748538011696,2.965767543859649,1.6380263157894737,2.919451754385965
257,00:00:10.719,2.9443567251461986,4.0786842105263155,1.6494736842105264,3.1049122807017544
258,00:00:10.761,2.178501461988304,2.432763157894737,1.5394736842105263,2.563267543859649
259,00:00:10.802,2.5274122807017547,3.018859649122807,1.7105043859649123,2.852872807017544
260,00:00:10.844,3.1898464912280704,4.452412280701754,1.769517543859649,3.347609649122807
261,00:00:10.886,2.3432821637426904,2.766030701754386,1.6332456140350877,2.6305701754385966
262,00:00:10.928,2.640146198830409,3.1155263157894737,1.7688377192982456,3.0360745614035087
263,00:00:10.969,2.9408771929824558,3.720701754385965,1.7919517543859649,3.3099780701754384
264,00:00:11.011,2.491630116959064,3.0182017543859647,1.7070833333333333,2.749605263157895
265,00:00:11.053,2.5026315789473683,2.735921052631579,1.694671052631579,3.0773026315789473
266,00:00:11.094,40.11638888888889,45.00372807017544,27.922741228070176,47.422697368421055
267,00:00:11.136,7.112492690058478,7.317324561403509,6.318969298245614,7.701184210526316
268,00:00:11.178,7.80703216374269,8.801030701754385,6.436162280701755,8.18390350877193
269,00:00:11.220,7.1947222222222225,7.862872807017544,6.152719298245614,7.5685745614035085
270,00:00:11.261,7.36779970760234,8.533004385964912,5.965964912280702,7.604429824561404
271,00:00:11.303,7.491220760233918,9.102543859649122,5.841359649122807,7.529758771929824
272,00:00:11.345,6.566308479532164,7.096666666666667,5.51030701754386,7.091951754385965
273,00:00:11.386,7.3767543859649125,8.836557017543859,5.797894736842105,7.495811403508772
274,00:00:11.428,6.987799707602339,8.290548245614035,5.635197368421053,7.03765350877193
275,00:00:11.470,7.107119883040935,8.221776315789473,5.764035087719298,7.335548245614035
276,00:00:11.511,7.946885964912281,10.158837719298246,5.8442105263157895,7.837609649122807
277,00:00:11.553,7.123574561403508,8.347390350877193,5.622938596491228,7.400394736842105
278,00:00:11.595,7.424378654970759,9.006315789473684,5.668092105263158,7.598728070175438
